,5日,10日,20日,周,月,,,,,,
263.1142897,,,,,,,0.333333333,0.181818182,0.095238095,0.25,0.064516129
262.5571476,,,,,,,,,,,
261.8053954,,,,,,,,,,,
261.6460996,,,,,,,,,,,
261.6928162,262.1631497,,,,,,,,,,
262.5263742,262.2842245,,,,,,,,,,
263.0880351,262.5521614,,,262.3471654,,,,,,,
263.114635,262.7396526,,,262.5390328,,,,,,,
262.8291051,262.7694701,,,262.6115509,,,,,,,
262.3979262,262.6456221,262.4771824,,262.5581447,,,,,,,
262.1118164,262.4676869,262.4107522,,262.4465626,,,,,,,
262.1162747,262.3505495,262.3572109,,262.3639907,,,,,,,
262.7052704,262.4687898,262.4204944,,262.4493106,,,,,,,
263.1289094,262.6888297,262.5492971,,262.6192103,,,,,,,
263.4271461,262.9349351,262.708906,,262.8211942,,,,,,,
263.7882029,263.2193577,262.9051418,,263.0629464,,,,,,,
263.8886241,263.4424465,263.0839568,,263.2693658,,,,,,,
263.8085924,263.5644951,263.2157087,,263.4041725,,,,,,,
263.5539031,263.5609644,263.2771986,,263.4416051,,,,,,,
263.696157,263.6060286,263.3533728,262.849836,263.5052431,,,,,,,
264.0623775,263.7581449,263.4822828,262.9653162,263.6445267,,,,,,,
264.3886976,263.9683291,263.6470855,263.1008763,263.8305694,,,,,,,
264.6100032,264.1822205,263.8221614,263.2446027,264.0254279,,,,,,,
264.8376964,264.4007125,264.0068041,263.3963259,264.228495,,,,,,,
265.0853193,264.6289147,264.2028978,263.5571824,264.4427011,,,,,,,
265.2488776,264.835569,264.393076,263.7182962,264.6442452,,,,,,,
265.2761471,264.9824284,264.5536344,263.866663,264.8022207,,,,,,,
265.3239969,265.0962846,264.6937003,264.0054567,264.9326647,,,,,,,
265.5010539,265.2312077,264.8404918,264.1478945,265.074762,,,,,,,
265.7765817,265.412999,265.01069,264.3030076,265.2502169,263.5702491,,,,,,
266.0092666,265.6117549,265.1922494,264.4655084,265.4399794,263.727605,,,,,,
266.19381,265.8057732,265.3743513,264.6301086,265.628437,263.886715,,,,,,
266.4044824,266.005343,265.5616479,264.7990966,265.8224484,264.0491516,,,,,,
266.6139694,266.2082185,265.7529791,264.9719416,266.0203286,264.2146237,,,,,,
266.7944334,266.4036234,265.9423344,265.1455123,266.2138548,264.3810631,,,,,,
266.9248204,266.5773558,266.1209682,265.3149702,266.3915962,264.5451765,,,,,,
267.0615323,266.7387479,266.2919799,265.4813094,266.5590802,264.707522,,,,,,
267.2375989,266.9050316,266.4639106,265.6485751,266.7287099,264.8707528,,,,,,
267.4428517,267.0843049,266.6418999,265.8194586,266.9072453,265.0366946,,,,,,
267.6438166,267.2708088,266.8240665,265.9932069,267.0913881,265.204896,,,,,,
267.8250951,267.4555709,267.0060717,266.1676725,267.2748149,265.3739411,,,,,,
268.0147794,267.6419737,267.1894731,266.3435874,267.459806,265.5443178,,,,,,
268.2228898,267.8356124,267.3773671,266.5225686,267.650577,265.7171289,,,,,,
268.424036,268.0317536,267.5676705,266.7036607,267.8439417,265.8917681,,,,,,
268.5885097,268.217339,267.7532776,266.8831702,268.0300837,266.0657514,,,,,,
268.7443246,268.3930008,267.933468,267.060423,268.2086439,266.2385626,,,,,,
268.9304675,268.5721564,268.1147406,267.2385224,268.3890998,266.4122339,,,,,,
269.1333564,268.7592231,268.2999435,267.4189828,268.575164,266.5877901,,,,,,
269.3189409,268.9457957,268.4852157,267.5999312,268.7611082,266.7639934,,,,,,
269.4891566,269.126916,268.6677504,267.7798574,268.9431203,266.9398104,,,,,,
269.6762834,269.3100384,268.8511201,267.9604694,269.1264111,267.116357,,,,,,
269.8791182,269.4997317,269.0380288,268.1431979,269.3145878,267.2945997,,,,,,
270.0741228,269.6911954,269.2264095,268.3270955,269.5044716,267.4739238,,,,,,
270.250631,269.8776739,269.4126316,268.5102893,269.6910114,267.6530662,,,,,,
270.4257213,270.0603564,269.5968297,268.6927114,269.8746889,267.8319471,,,,,,
270.6142044,270.2449724,269.781807,268.8757108,270.0595678,268.0114476,,,,,,
270.8091629,270.4330359,269.9685989,269.0598491,270.2469665,268.1919454,,,,,,
270.9957973,270.620623,270.1553623,269.2442251,270.4341742,268.372839,,,,,,
271.1717859,270.804344,270.3401666,269.4278023,270.6185772,268.5534163,,,,,,
271.3543178,270.9876686,270.5245577,269.61128,270.8025123,268.7341196,,,,,,
271.5492466,271.1748613,270.7108648,269.7958482,270.9891959,268.9157407,,,,,,
271.7431989,271.3643072,270.8985619,269.9813102,271.1776967,269.0981573,,,,,,
271.9236569,271.5507571,271.0849428,270.1662956,271.3641867,269.2804476,,,,,,
272.1014223,271.7343121,271.2697573,270.3505934,271.5484956,269.462446,,,,,,
272.2906077,271.919744,271.4553664,270.5353566,271.7340236,269.644908,,,,,,
272.4845752,272.1080211,271.6424953,270.7209965,271.9216615,269.8281124,,,,,,
272.6701181,272.2953868,271.8293358,270.9066271,272.1087757,270.0114676,,,,,,
272.8485968,272.4797901,272.014656,271.0915766,272.293731,270.1945082,,,,,,
273.0331742,272.6642515,272.1998411,271.2764907,272.4785918,270.3776479,,,,,,
273.2250026,272.8511685,272.3862341,271.4620633,272.6651945,270.5613482,,,,,,
273.4148616,273.0390662,272.5732573,271.648044,272.8526113,270.7454459,,,,,,
273.5974227,273.225185,272.7594692,271.8336992,273.0388141,270.9294444,,,,,,
273.7791073,273.4098258,272.9448579,272.0189761,273.2238874,271.1132936,,,,,,
273.9668862,273.5955126,273.1306813,272.2044914,273.4096371,271.2973963,,,,,,
274.1576868,273.782904,273.3174095,272.39051,273.5966495,271.4819312,,,,,,
274.344216,273.970008,273.5041016,272.5765772,273.7835411,271.6665947,,,,,,
274.5257254,274.1552471,273.6898514,272.7622104,273.9690872,271.8510548,,,,,,
274.7100787,274.340191,273.8753473,272.9477217,274.1543351,272.0355079,,,,,,
274.8998278,274.5267366,274.0616165,273.1336365,274.3407083,272.2203028,,,,,,
275.08894,274.7141377,274.2484026,273.3198559,274.5277662,272.4053761,,,,,,
275.2725535,274.9002763,274.4346118,273.5058271,274.713963,272.5903553,,,,,,
275.4552949,275.0852825,274.6201906,273.6914907,274.899296,272.7751901,,,,,,
275.6428086,275.2711245,274.8061211,273.8773305,275.0851741,272.9601978,,,,,,
275.8323214,275.4581902,274.992703,274.0635201,275.271961,273.1454961,,,,,,
276.0184025,275.6449276,275.1791938,274.2496994,275.4585713,273.3308449,,,,,,
276.2014422,275.8304325,275.3650571,274.4355797,275.6442891,273.5160447,,,,,,
276.386749,276.0158713,275.5508193,274.6214053,275.829904,273.7012514,,,,,,
276.5752081,276.2023169,275.7370718,274.8074818,276.0162301,273.886668,,,,,,
276.7629939,276.3892092,275.9236031,274.993721,276.202921,274.0722374,,,,,,
276.9476197,276.5753461,276.1097879,275.1798066,276.3890957,274.2577459,,,,,,
